Session Id, Session Name, Usernames, Password, Start, Stop, DNS Assets, Shared With, Endpoint Kits, Public IPs  
39601,Cisco 4D Software Defined Access PoV Demo v41,v169user1; v169user2; ... v169user16,="41e013",2017-10-19 13:18:39,2017-10-21 17:18:39,No DNS Assets,pastryer; dmickels,None,128.107.66.26,128.107.66.30
39832,Cisco 4D SD-Access v3,v175user1; v175user2; ... v175user16,="39da9a",2017-10-20 13:49:49,2017-10-20 17:49:49,No DNS Assets,No One,None,128.107.222.82
37194,24 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:02:00,2017-11-09 06:58:00,No DNS Assets,No One,None,null
37186,2 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:34:00,2017-10-25 08:26:00,No DNS Assets,No One,None,null
37199,19 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:42:00,2017-11-09 07:18:00,No DNS Assets,No One,None,null
37189,29 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:22:00,2017-11-09 06:38:00,No DNS Assets,No One,None,null
37190,28 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:18:00,2017-11-09 06:42:00,No DNS Assets,No One,None,null
37159,29 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:22:00,2017-10-25 06:38:00,No DNS Assets,No One,None,null
37201,17 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:34:00,2017-11-09 07:26:00,No DNS Assets,No One,None,null
37183,5 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:46:00,2017-10-25 08:14:00,No DNS Assets,No One,None,null
37181,7 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:54:00,2017-10-25 08:06:00,No DNS Assets,No One,None,null
37216,2 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:34:00,2017-11-09 08:26:00,No DNS Assets,No One,None,null
37182,6 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:50:00,2017-10-25 08:10:00,No DNS Assets,No One,None,null
37163,25 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 07:06:00,2017-10-25 06:54:00,No DNS Assets,No One,None,null
37184,4 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:42:00,2017-10-25 08:18:00,No DNS Assets,No One,None,null
37166,22 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:54:00,2017-10-25 07:06:00,No DNS Assets,No One,None,null
37214,4 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:42:00,2017-11-09 08:18:00,No DNS Assets,No One,None,null
37175,13 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:18:00,2017-10-25 07:42:00,No DNS Assets,No One,None,null
37211,7 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:54:00,2017-11-09 08:06:00,No DNS Assets,No One,None,null
37206,12 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:14:00,2017-11-09 07:46:00,No DNS Assets,No One,None,null
37205,13 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:18:00,2017-11-09 07:42:00,No DNS Assets,No One,None,null
37171,17 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:34:00,2017-10-25 07:26:00,No DNS Assets,No One,None,null
37170,18 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:38:00,2017-10-25 07:22:00,No DNS Assets,No One,None,null
37191,27 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:14:00,2017-11-09 06:46:00,No DNS Assets,No One,None,null
37213,5 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:46:00,2017-11-09 08:14:00,No DNS Assets,No One,None,null
37168,20 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:46:00,2017-10-25 07:14:00,No DNS Assets,No One,None,null
37200,18 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:38:00,2017-11-09 07:22:00,No DNS Assets,No One,None,null
37177,11 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:10:00,2017-10-25 07:50:00,No DNS Assets,No One,None,null
37167,21 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:50:00,2017-10-25 07:10:00,No DNS Assets,No One,None,null
37185,3 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:38:00,2017-10-25 08:22:00,No DNS Assets,No One,None,null
37207,11 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:10:00,2017-11-09 07:50:00,No DNS Assets,No One,None,null
37203,15 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:26:00,2017-11-09 07:34:00,No DNS Assets,No One,None,null
37198,20 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:46:00,2017-11-09 07:14:00,No DNS Assets,No One,None,null
37209,9 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:02:00,2017-11-09 07:58:00,No DNS Assets,No One,None,null
37180,8 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 05:58:00,2017-10-25 08:02:00,No DNS Assets,No One,None,null
37193,25 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 07:06:00,2017-11-09 06:54:00,No DNS Assets,No One,None,null
37174,14 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:22:00,2017-10-25 07:38:00,No DNS Assets,No One,None,null
37195,23 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 06:58:00,2017-11-09 07:02:00,No DNS Assets,No One,None,null
37173,15 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-10-23 06:26:00,2017-10-25 07:34:00,No DNS Assets,No One,None,null
37215,3 - Cisco 4D SD-Access v3 S7 - Ready for QA,Not Started,="Not Started",2017-11-07 05:38:00,2017-11-09 08:22:00,No DNS Assets,No One,None,null
